"nombre","popularidad","porcentajevictorias","porcentajebaneos","kda","pentasporpartida"
"Vi","3.9%","51.8%","0.7%","0.7%","0.0015"
"Veigar","3.9%","49.2%","1.2%","1.2%","0.0005"
"Bel'Veth","3.8%","50.0%","13.4%","13.4%","0.0015"
"LeBlanc","3.8%","46.6%","5.8%","5.8%","0.0004"
"Bardo","3.8%","49.7%","0.4%","0.4%","0.0000"
"Ryze","3.8%","46.6%","0.3%","0.3%","0.0009"
"Ornn","3.7%","50.9%","0.8%","0.8%","0.0001"
"Sona","3.7%","54.0%","0.2%","0.2%","0.0000"
"Illaoi","3.7%","51.1%","3.4%","3.4%","0.0011"
"Qiyana","3.7%","46.7%","0.9%","0.9%","0.0011"
"Fiddlesticks","3.5%","51.8%","2.1%","2.1%","0.0003"
"Zyra","3.5%","50.3%","1.7%","1.7%","0.0000"
"Akshan","3.5%","50.6%","3.7%","3.7%","0.0014"
"Zoe","3.5%","48.2%","0.9%","0.9%","0.0005"
"Tryndamere","3.5%","50.4%","2.4%","2.4%","0.0025"
"Nocturne","3.4%","51.8%","1.4%","1.4%","0.0007"
"Cho'Gath","3.3%","49.5%","1.0%","1.0%","0.0007"
"Gwen","3.3%","49.6%","0.9%","0.9%","0.0021"
"Vel'Koz","3.2%","51.1%","0.4%","0.4%","0.0004"
"Rakan","3.2%","50.5%","0.2%","0.2%","0.0000"
"Fizz","3.2%","50.1%","3.1%","3.1%","0.0014"
"Tahm Kench","3.1%","48.8%","0.9%","0.9%","0.0002"
"Volibear","3.1%","49.9%","0.9%","0.9%","0.0004"
"Alistar","3.1%","48.5%","0.7%","0.7%","0.0000"
"Anivia","3.0%","50.7%","2.3%","2.3%","0.0007"
"Nidalee","3.0%","47.9%","1.0%","1.0%","0.0012"
"Singed","3.0%","52.3%","0.5%","0.5%","0.0005"
"Nunu y Willump","2.9%","49.5%","0.5%","0.5%","0.0003"
"Rumble","2.9%","48.7%","0.5%","0.5%","0.0005"
"Olaf","2.8%","51.4%","1.7%","1.7%","0.0056"
"Kalista","2.8%","47.3%","0.7%","0.7%","0.0030"
"Kayle","2.8%","50.1%","0.5%","0.5%","0.0023"
"Jayce","2.8%","48.4%","0.3%","0.3%","0.0012"
"Azir","2.8%","46.6%","0.7%","0.7%","0.0009"
"Trundle","2.6%","48.1%","1.7%","1.7%","0.0001"
